,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
138,138,826,-10.211502,-22.355804,2.759186,37389.591037934544,43327.3091972457,64069.650551211125,47062.96624228763,66803.54606589089,70393.49116159532,72760.82875833294,27.533333333333335
139,139,827,-10.093018,-21.997208,2.118423,37382.4130065301,43218.122700196545,63931.210509026416,47355.33304685335,66996.42251217159,70877.6478314517,73109.43680081339,27.566666666666666
140,140,828,-10.36618,-21.6866,2.263161,37381.35932890719,43438.24206434011,64310.19162058035,47776.052147669456,67564.43709814393,71408.49854668527,73709.61264046705,27.6
141,141,829,-10.302567,-21.125641,2.437119,37402.97895003666,43396.640078720855,64274.004532242696,48304.268722004745,68008.8664109869,72206.71945411726,74359.27012898939,27.633333333333333
142,142,830,-10.479683,-22.935745,2.37001,37426.02169054967,43586.00822213316,64405.53681644037,46639.350099224095,66584.28280345393,69638.85223458316,72265.99673541187,27.666666666666668
143,143,831,-10.315643,-21.496277,2.260757,37385.79708752393,43397.7702500087,64258.10884219496,47941.027104728935,67683.38744399208,71670.27129340191,73906.4374588981,27.7
144,144,832,-10.208244,-22.045143,2.2425080000000004,37381.48698099224,43313.15573584208,64079.826380376595,47358.798746501154,67075.49958971135,70841.84541290706,73140.97093158499,27.733333333333334
145,145,833,-10.191658,-21.041222,2.28463,37409.13006691951,43308.77100584587,64135.9262019314,48341.412255698466,67970.02723755468,72297.78627286978,74378.39748419775,27.766666666666666
146,146,834,-9.606239,-21.373413,3.214279,37408.87123031393,42825.66001264333,63335.57058677275,47765.29608351184,67050.43409747262,71647.43964642867,73506.98645264219,27.8
147,147,835,-9.994507,-20.908157,2.531593,37422.28517712241,43154.06086505192,63889.58237913494,48392.585955700575,67886.58713112892,72436.00828551728,74392.30523976793,27.833333333333332
148,148,836,-10.809998,-20.672363,2.432022,37447.13913352217,43847.71920241834,64997.20339848197,48987.64761426127,68965.49761448317,73021.04257847193,75328.07864216146,27.866666666666667
149,149,837,-10.235825,-21.427887,2.699539,37388.44816788493,43333.09685893175,64158.47870639831,47974.02791506922,67661.37370961181,71746.43351247229,73928.95735383702,27.9
150,150,838,-9.891052,-21.222115,3.078644,37404.31079984696,43057.194940558016,63722.42300080584,48032.99181826077,67487.47114104114,71947.6224479848,73917.23578915895,27.933333333333334
151,151,839,-10.184975,-21.454987,2.760132,37387.92335316818,43290.929332156455,64089.23165074016,47925.27725425085,67583.02667678468,71692.14983144893,73855.25320228619,27.966666666666665
152,152,840,-10.307297,-21.2845,2.957352,37394.24481436531,43395.22670772238,64265.249358163564,48147.46691010294,67867.87784804088,71976.30554277755,74164.13992147727,28.0
153,153,841,-10.128197,-20.618347,2.808128,37446.04858092356,43281.67234688809,64099.080986182234,48744.40967040002,68297.61632615942,72898.93100902157,74861.99682889984,28.033333333333335
154,154,842,-10.382935,-21.378357,2.898949,37390.11581244922,43455.46265554561,64356.793847160945,48087.15025159985,67861.94806234287,71861.80663105848,74106.41311906457,28.066666666666666
155,155,843,-9.991791,-20.924461,2.9002380000000003,37421.07158630774,43150.999374538835,63884.273955785,48374.91643596587,67868.57051567812,72411.36580914166,74369.65412149654,28.1
